Item name,Category,Description,Data type,Range,Resolution,Units,Service page(s),System(s),See 
i94 - Bending magnet over temperature,Bending OT,This item indicated that an over temperature fault has occurred in the bending magnet coils. The detectors comprise six thermal cutouts mounted one per bending coil. ,Boolean,0 Bending magnet temperature OK ,Integer,None,Modulator,Beam Physics [Ref: 8],Ref 14: 4513 330 7024 - sheet 1
,,,,1 Bending magnet over temperature,,,,,
i95 - Diaphragm Y2 position start,Y2,The prescribed or keyboard-entered value of this item can be applied using ASU to cause assisted setup of the Y2 diaphragm.,Not available,-12.5 cm to +20.00 cm,0.01 cm,cm,ASU,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 2
,,The displayed Actual value shows the actual Y2 diaphragm.,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7036 - sheet 1
,,,,,,,,Accessories [Ref: 11],
i96 - Diaphragm Y2 position stop,Y2 stp,The prescribed or keyboard entered value of this item is used during a movement segment to determine the required STOP position of the Y2 diaphragm.,Not available,-12.5 cm to +20.00 cm,0.01 cm,cm,Edit Machine Item Part,Movements [Ref: 6],Not available
,,"The system uses the information, and that of the required START position, to evaluate the required movement per MU.",,,,,,Beam Limiting Devices [Ref: 12],
i97 - Set tuner rest position,Tuner Rest,This item allows the magnetron tuner rest position to be set for each energy and stored in the calibration block.,Real,30 to 330 turns,0.1 turn,Turns,"AFC, Beam Control",HT and RF [Ref: 7],Ref 14: 4513 330 7083 - sheet 1
i98 - Doors latched,Drs Latchd,This item gives the status of the equipment room doors interlock. It shows whether the interlock is ok and that the correct door closing sequence was followed.,Boolean,0 Doors not latched,Integer,None,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7071 - sheet 1
,,,,1 Doors latched,,,,,
i99 - Segment dose percentage,Seg Dose %,This item shows the fraction of the segment that has been delivered.,Real,0.0 % to 1000.0 %,0.001,%,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
,,This is calculated in the case of radiation segments by the actual dose delivered divided by the dose set.,,,,,,,
,,"In movement segments, this item is an integration of movement speed item i375.",,,,,,,
i100 - Applicator X size,Appl.X,"Displays the nominal X size of the applicator that is fitted (6 × 6, 10 × 10, etc.). The size is set by adjusting RV1 on the applicator.",Real,0.0 cm to 25.0 cm,0.1 cm,cm,Edit Machine Item Part,Accessories [Ref: 11],Ref 14: 4513 330 7036 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i101 - Applicator X size stop,Appl.X stp,Not Available,Real,0.0 cm to 25.0 cm,0.1 cm,cm,Edit Machine Item Part,Accessories [Ref: 11],Ref 14: 4513 330 7036 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i102 - Plotter X channel output,X Output,This item shows the control voltage output to the X channel of the plotter.,Real,-5.00 V to +5.00 V,0.01 V,V,Plotter,Not available,Ref 14: 4513 330 7036 - sheet 1
i103 - Plotter Y1 channel output,Y1 Output,Selects the item to be output by the Y1 channel of the plotter.,Real,-5.00 V to +5.00 V,0.01 V,V,Plotter,Not available,Not available
i104 - Plotter X channel select,X plot item,Selects the item to be plotted by the X channel of the plotter.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Plotter,Not available,Not available
i105 - Applicator Y size,Appl.Y,"Displays the nominal Y size of the applicator that is fitted (6 × 6, 10 × 10, etc.). The size is set by adjusting RV2 on the applicator.",Real,0.0 cm to 25.0 cm,0.1 cm,cm,Edit Machine Item Part,Accessories [Ref: 11],Ref 14: 4513 330 7036 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i106 - Applicator Y size stop,Appl.Y stp,Not Available,Real,0.0 cm to 25.0 cm,0.1 cm,cm,Edit Machine Item Part,Accessories [Ref: 11],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i107 - Plotter Y1 channel select,Y1 plot item,Selects the item to be plotted by the Y1 channel of the plotter.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Plotter,Not available,Not available
i108 - Plotter Y2 channel select,Y2 plot item,Selects the item to be plotted by the Y2 channel of the plotter.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Plotter,Not available,Not available
i109 - Plotter Y2 channel output,Y2 Output,The control voltage output to the Y2 channel of the plotter.,Real,-5.00 V to +5.00 V,0.01 V,V,Plotter,Not available,Not available
i110 - Table isocentric rotation start,T/T.start,The START position for the isocentric rotation movement of the Precise Table.,Integer,-135 ° to +135 °,1 °,Degrees (°),"ASU, PSS",Precise Table,Ref 14: 4513 330 7065
i111 - Table isocentric rotation stop,T/T. stp,The STOP position for the isocentric rotation movement of the Precise Table.,Integer,-135 ° to +135 °,1 °,Degrees (°),Edit Machine Item Part,Precise Table,Not available
i112 - Plot enable,Plot en,Enables the plotter output channels on the AO12 PCB in the interface.,Boolean,Not Available,Integer,None,Edit Machine Item Part,Not available,Not available
i113 - Plotter X channel gain,X gain,This item sets the gain value for the output to the X channel of the plotter.,Integer,0 to 32767,1,None,Plotter,Not available,Not available
i114 - Plotter X channel offset,X offset,This item sets the offset value for the output to the X channel of the plotter.,Integer,0 to 32767,1,None,Not available,Not available,Not available
i115 - Table longitudinal movement start,Long.start,The START position for the longitudinal movement of the Precise Table.,Real,0.0 cm to 80.0 cm,0.1 cm,cm,"PSS, ASU",Precise Table,4513 330 7063
i116 - Table longitudinal movement stop,Long. stp,The STOP position for the longitudinal movement of the Precise Table.,Real,0.0 cm to 80.0 cm,0.1 cm,cm,Edit Machine Item Part,Precise Table,Not available
i117 - Plotter Y1 channel gain,Y1 gain,This item sets the gain value for the output to the Y1 channel of the plotter.,Integer,0 to 32767,1,None,Plotter,Not available,Not available
i118 - Plotter Y1 channel offset,Y1 offset,This item sets the offset value for the output to the Y1 channel of the plotter.,Integer,0 to 32767,1,None,Plotter,Not available,Not available
i119 - Plotter Y2 channel gain,Y2 gain,This item sets the gain value for the output to the Y2 channel of the plotter.,Integer,0 to 32767,1,None,Plotter,Not available,Not available
i120 - Table lateral movement start,Lat.start,The START position for the lateral movement of the Precise Table.,Real,-25.0 cm to 25.0 cm,0.1 cm,cm,"PSS, ASU",Precise Table,4513 330 7062
i121 - Table lateral movement stop,Lat. stp,The STOP position for the lateral movement of the Precise Table.,Real,-25.0 cm to 25.0 cm,0.1 cm,cm,Edit Machine Item Part,Precise Table,Not available
i122 - Plotter Y2 channel offset,Y2 offset,This item sets the offset value for the output to the Y2 channel of the plotter.,Integer,0 to 32767,1,None,Plotter,Not available,Not available
i123 - Slits difference,Slit Err,This item shows the servo error from the slits gun control system. The item is not used in digital accelerators fitted with a slitless flight tube and hardware gun servo.,Real,0.00 to 40.95,0.01,None,Only appears on the Gun Servo service page for digital accelerators fitted with a slitted flight tube,Not available,Not available
i124 - Hump balance input item,2R sum,This item maintains the sum of the two 2R plates.,Real,0.00 to 40.95,0.01,None,Not available,Not available,Not available
i125 - Table height start ,Hgt.start,The START position for the height movement of the Precise Table.,Real,-60.0 cm to +90.0 cm,0.1 cm,cm,"ASU, PSS",Precise Table,Ref 14: 4513 330 7064
i126 - Table height stop,Hgt. stp,The STOP position for the height movement of the Precise Table.,Real,-60.0 cm to +90.0 cm,0.1 cm,cm,Edit Machine Item Part,Precise Table,Not available
i127 - 2R plates ratio,2R Err,This item shows the servo error from the 2R plates centring system.,Real,-327.67 % to +327.67 %,0.0001,% tilt,"Beam Monitor, Steering",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7025 - sheet 1 
,,,,,,,,Beam Physics [Ref: 8],
i128 - 2T plates ratio,2T Err,This item shows the servo error from the 2T plates centring system.,Real,-327.67 % to +327.67 %,0.0001,% tilt,"Beam Monitor, Steering",Beam Physics [Ref: 8],Ref 14: 4513 330 7025 - sheet 2
i129 - Phase error,Phase Err,This item shows the servo error from the RF phase error detector.,Real,-327.67 to +327.67,0.01,None,"AFC, Beam Monitor",HT and RF [Ref: 7],Ref 14: 4513 330 7083 - sheet 1
i130 - Table angle start,Column Rot,The START position for the column rotation movement of the Precise Table.,Integer,-210 ° to +210 °,1 °,Degrees (°),"ASU, PSS",Precise Table,Ref 14: 4513 330 7061 - sheet 1
i131 - Tbl Angle Stop,Tbl Angle Stop,Stop angle for the table column rotation movement.,Integer,-210 ° to +210 °,1 °,Degrees (°),Not available,Not available,Not available
i132 - Water valve,Wtr valve,This item is supplied with positional information derived from the readout potentiometer of the motorized water valve. It is used by the water temperature servo block.,Integer,0 to 4095,Integer,None,"Modulator, System Test 1","Cooling, Gas and Vacuum [Ref: 4]",Ref 14: 4513 330 7044 - sheet 1
i133 - Movement enable 1,Move en 1,"This item shows whether movements that depend on the movement enable control on HHC1 are enabled. If this item is true and the gantry demand is not zero, then the gantry brake will be released.",Boolean,Not Available,Integer,None,"Area Voltages, PSS",Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1 
,,,,,,,,Beam Physics [Ref: 8],
i134 - Movement enable 2,Move en 2,This item shows whether movements that do not depend on the movement enable button on the HHC are enabled.,Boolean,Not Available,Integer,None,Area Voltages,Movements [Ref: 6],Ref: 14513 330 7027 - sheet 1
,,,,,,,,Beam Physics [Ref: 8],4513 330 7039 - sheet 1
,,,,,,,,HT and RF [Ref: 7],4513 330 7043 - sheet 1
,,,,,,,,,"4513 330 7035 - sheet 1, 2"
,,,,,,,,,4513 330 7041 - sheet 1
i135 - Gantry rotation check monitor,Gant chk,"The monitor item of the gantry movement check potentiometer, calibrated directly in volts.",Real,0.00 V to 10.00 V,0.01 V,V,Pots,Movements [Ref: 6],Ref 14: J114513 330 7047 - sheet 1
i136 - Diaphragm rotation check monitor,D.rot. chk,"The monitor item of the diaphragm rotation check potentiometer, calibrated directly in volts.",Real,0.00 V to 10.00 V,0.01 V,V,Pots,Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
,,,,,,,,Beam Physics [Ref: 8],
i137 - Diaphragm X1 position check monitor,X1 chk,"The monitor item of the X1 diaphragm movement check potentiometer, calibrated directly in volts.",Real,0.00 V to 10.00 V,0.01 V,V,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i138 - Diaphragm X2 position check monitor,X2 chk,"The monitor item of the X2 diaphragm movement check potentiometer, calibrated directly in volts.",Real,0.00 V to 10.00 V,0.01 V,V,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i139 - Diaphragm Y1 position check monitor,Y1 chk,"The monitor item of the Y1 diaphragm movement check potentiometer, calibrated directly in volts.",Real,0.00 V to 10.00 V,0.01 V,V,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 2
,,,,,,,,Beam Limiting Devices [Ref: 12],
i140 - Diaphragm Y2 position check monitor,Y2 chk,"The monitor item of the Y2 diaphragm movement check potentiometer, calibrated directly in volts.",Real,0.00 V to 10.00 V,0.01 V,V,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 2
,,,,,,,,Beam Limiting Devices [Ref: 12],
i141 - Applicator X control item,Xsize ctrl,This item determines:,Real,0.00 cm to 20.00 cm,0.01 cm,cm,"ASU, FKP",Movements [Ref: 6],Not available
,,1. Applicator X value in cm (allocation X1 for variable applicator),,,,,,Beam Limiting Devices [Ref: 12],
,,2. Required position of corresponding diaphragm X1 according to applicator mount fitted and energy calibration block in use.,,,,,,,
,,The applicator X value must be entered and verified,,,,,,,
i142 - Applicator Y control item,Ysize ctrl,This item determines:,Real,0.00 cm to 20.00 cm,0.01 cm,cm,ASU,Movements [Ref: 6],Not available
,,1.  Applicator Y value in cm (allocation Y1 for variable applicator),,,,,,Beam Limiting Devices [Ref: 12],
,,2. Required position of corresponding diaphragm Y1 according to applicator mount fitted and energy calibration block in use.,,,,,,Accessories [Ref: 11],
,,The applicator Y value must be entered and verified,,,,,,,
i143 - Table isocentric rotation check monitor,T/T chk,The monitor item of the Precise Table isocentric rotation movement check potentiometer voltage.,Real,-150.00 ° to +150.00 °,0.01 °,Degrees (°),Edit Machine Item Part,Precise Table,Not available
